id,name,slug,longitude,latitude,country,info:fr
18155,Oudenaarde,oudenaarde,3.6017970000,50.8511770000,BE,Audenarde
18156,Turnhout,turnhout,4.9375670000,51.3221850000,BE,
18157,Kessel,kessel,4.6180640000,51.1509130000,BE,
18158,Bouwel,bouwel,4.7460880000,51.1657550000,BE,
18159,Tielen,tielen,4.8942210000,51.2417130000,BE,
18160,Overpelt,overpelt,5.4237130000,51.2156180000,BE,
18161,Eppegem,eppegem,4.4577320000,50.9586430000,BE,
18162,Haren,haren,4.4198880000,50.8886440000,BE,Belgique
22631,Taizé,taize,4.680979,46.511706,FR,
22632,Taizé Communauté,taize-communaute,4.677051,46.514143,FR,
22633,Taizé Mairie,taize-mairie,4.679487,46.512012,FR,
22634,Auterive Abri RN-20 (Haute Garonne),auterive-abri-rn-20-haute-garonne,1.473628,43.346515,FR,
22635,Châteaubriant Tram-Train,chateaubriant-tram-train,-1.371370553970337,47.71732319911446,FR,
22636,Issé,isse,-1.4504,47.62674,FR,
22637,Abbaretz,abbaretz,-1.52329,47.55448,FR,
22638,Sucé-sur-Erdre,suce-sur-erdre,-1.52991,47.34335,FR,
22639,La Chapelle Aulnay,la-chapelle-aulnay,-1.54143,47.30875,FR,
22640,La Chapelle Centre,la-chapelle-centre,-1.54686,47.29711,FR,
22641,La Chapelle Erdre Active,la-chapelle-erdre-active,-1.54445,47.28284,FR,
22642,Babinière,babiniere,-1.54417,47.25878,FR,
22643,Haluchère Batignolles,haluchere-batignolles,-1.52264,47.24878,FR,
22655,Sainte-Ménéhould Médiathèque,sainte-menehould-mediatheque,4.8666670000,49.1000000000,FR,
22981,Carpentras,carpentras,5.04500,44.04877,FR,
