name,howbig,latitude,longitude,postalCode,city,department,region
Aubiat,c,45.983812, 3.1605115,63260,Aubiat,Puy-de-Dôme,Auvergne
Gerzat,c,45.8335879, 3.1431045,63360,Gerzat,Puy-de-Dôme,Auvergne
Royat - Chamalières,c,45.7676495, 3.0615022,63130,Royat,Puy-de-Dôme,Auvergne
Aurec,c,45.3711611, 4.1983439,43110,Aurec-sur-Loire,Haute-Loire,Auvergne
La Ricamarie,c,45.4041516, 4.360686,42150,Ricamarie,Loire,Rhône-Alpes
Bonson,c,45.5221941, 4.2163084,42160,Bonson,Loire,Rhône-Alpes
Saint-Étienne Bellevue,b,45.417128, 4.392734,42000,Saint-Étienne,Loire,Rhône-Alpes
Saint-Étienne La Terrasse,b,45.464843,4.379601,42000,Saint-Étienne,Loire,Rhône-Alpes
Vaucresson,b,48.83688, 2.15255,92420,Vaucresson,Hauts-de-Seine,Île-de-France
Garches - Marnes-la-Coquette,b,48.83839, 2.18692,92380,Garches,Hauts-de-Seine,Île-de-France
Conflans-Sainte-Honorine,b,48.99646, 2.09783,78700,Conflans-Sainte-Honorine,Yvelines,Île-de-France
Herblay,b,48.99042, 2.16208,95220,Herblay,Val-d'Oise,Île-de-France
Cormeilles-en-Parisis,b,48.96864, 2.19358,95240,Cormeilles-en-Parisis,Val-d'Oise,Île-de-France
Meulan - Hardricourt,b,49.00564, 1.90213,78250,Hardricourt,Yvelines,Île-de-France
Vaux-sur-Seine,b,49.00699, 1.96342,78740,Vaux-sur-Seine,Yvelines,Île-de-France
Mareil-sur-Mauldre,c,48.8936804, 1.8715159,78124,Mareil-sur-Mauldre,Yvelines,Île-de-France
Bréval,b,48.94336, 1.54191,78980,Bréval,Yvelines,Île-de-France
Limay,b,48.9841, 1.74731,78520,Limay,Yvelines,Île-de-France
Juziers,b,48.99244, 1.84579,78820,Juziers,Yvelines,Île-de-France
Andrésy,b,48.9747, 2.04928,78570,Andrésy,Yvelines,Île-de-France
Maurecourt,b,48.98712, 2.05963,78570,Andrésy,Yvelines,Île-de-France
Éragny - Neuville,b,49.01824, 2.09104,95610,Éragny,Val-d'Oise,Île-de-France
Boissy-l'Aillerie,b,49.07598, 2.02513,95650,Boissy-l'Aillerie,Val-d'Oise,Île-de-France
Clichy - Levallois,b,48.89678, 2.2982,92110,Levallois-Perret,Hauts-de-Seine,Île-de-France
Avenue Henri Martin,b,48.8644077, 2.272238,75016,Paris,Paris,Île-de-France
Saint-Sébastien Pas Enchantés,c,47.2069513, -1.5109069,44230,Saint-Sébastien-sur-Loire,Loire-Atlantique,Pays de la Loire
Saint-Martin du Touch,c,43.5997881, 1.3718548,31000,Toulouse,Haute-Garonne,Midi-Pyrénées
Le Toec,c,43.5956037, 1.4014496,31000,Toulouse,Haute-Garonne,Midi-Pyrénées
Caudry,b,50.11146, 3.40983,59540,Caudry,Nord,Nord-Pas-de-Calais
Cambrai,b,50.17662, 3.24118,59400,Cambrai,Nord,Nord-Pas-de-Calais
Escaudoeuvres,c,50.1918249, 3.2754949,59161,Escaudœuvres,Nord,Nord-Pas-de-Calais
Aubigny-au-Bac,c,50.2685315, 3.158706,59265,Aubigny-au-Bac,Nord,Nord-Pas-de-Calais
Arleux,c,50.2863204, 3.1208073,59151,Arleux,Nord,Nord-Pas-de-Calais
Montigny-en-Ostrevent,b,50.36151, 3.18829,59182,Montigny-en-Ostrevent,Nord,Nord-Pas-de-Calais
Brebières Sud,c,50.33624, 3.0142,62117,Brebières,Pas-de-Calais,Nord-Pas-de-Calais
Douai,a,50.371677, 3.089986,59500,Douai,Nord,Nord-Pas-de-Calais
Prouvy - Thiant,c,50.3167933, 3.4610838,59121,Prouvy,Nord,Nord-Pas-de-Calais
Valenciennes,a,50.363259, 3.517115,59300,Valenciennes,Nord,Nord-Pas-de-Calais
Avion,b,50.40723, 2.83365,62210,Avion,Pas-de-Calais,Nord-Pas-de-Calais
Calonne-Ricouart,c,50.4827036, 2.4812098,62470,Calonne-Ricouart,Pas-de-Calais,Nord-Pas-de-Calais
Steenbecque,c,50.6806568, 2.510089,59189,Steenbecque,Nord,Nord-Pas-de-Calais
Savy-Berlette,c,50.3538756, 2.5577316,62690,Savy-Berlette,Pas-de-Calais,Nord-Pas-de-Calais
Vitry-en-Artois,c,50.3276092, 2.9820833,62490,Vitry-en-Artois,Pas-de-Calais,Nord-Pas-de-Calais
Hoenheim Tram,c,48.6285976, 7.7581387,67800,Hœnheim,Bas-Rhin,Alsace
Saint-Ouen-l'Aumône Liesse,b,49.0338707, 2.1279345,95310,Saint-Ouen-l'Aumône,Val-d'Oise,Île-de-France
Cesson-Sévigné,b,48.11281, -1.60211,35510,Cesson-Sévigné,Ille-et-Vilaine,Bretagne
Thésée,c,47.322271, 1.3120568,41140,Thésée,Loir-et-Cher,Centre
Les Cauquillous,c,43.7340198, 1.7546798,81500,Lavaur,Tarn,Midi-Pyrénées
Le Tréport - Mers-les-Bains,c,50.0628592, 1.3763738,76470,Tréport,Seine-Maritime,Haute-Normandie
Feuquières - Fressenneville,c,50.0632646, 1.5890574,80210,Feuquières-en-Vimeu,Somme,Picardie
Rue,b,50.27308, 1.6757,80120,Rue,Somme,Picardie
Noyelles-sur-Mer,c,50.1875408, 1.7045772,80133,Noyelles-sur-Mer,Somme,Picardie
Abbeville,b,50.10221, 1.82449,80100,Abbeville,Somme,Picardie
Neufchâtel-Hardelot,c,50.62364, 1.643115,62152,Neufchâtel-Hardelot,Pas-de-Calais,Nord-Pas-de-Calais
Aubin-Saint-Vaast,c,50.3946137, 1.9705382,62140,Aubin-Saint-Vaast,Pas-de-Calais,Nord-Pas-de-Calais
Longroy - Gamaches,c,49.9818917, 1.5526598,76260,Longroy,Seine-Maritime,Haute-Normandie
